Algorithm, # Frames, # Reads, # Writes, # Page Faults
sort,10,1095,620,1095
sort,20,838,495,838
sort,30,694,424,694
sort,40,593,359,593
sort,50,505,304,505
sort,60,408,246,408
sort,70,338,181,338
sort,80,252,124,252
sort,90,182,69,182
sort,100,100,0,100
scan,10,1097,100,1097
scan,20,1023,93,1023
scan,30,932,85,932
scan,40,836,77,836
scan,50,714,64,714
scan,60,612,55,612
scan,70,494,45,494
scan,80,383,33,383
scan,90,257,24,257
scan,100,100,0,100
focus,10,292,193,292
focus,20,268,171,268
focus,30,250,153,250
focus,40,226,128,226
focus,50,207,109,207
focus,60,191,96,191
focus,70,175,78,175
focus,80,143,44,143
focus,90,127,28,127
focus,100,100,0,100
